datetime,1 mains,2 mains
2011-05-01 00:00:01,126.71,117.07
2011-05-01 00:00:04,130.63,116.56
2011-05-01 00:00:08,130.26,116.53
2011-05-01 00:00:11,130.81,117.07
2011-05-01 00:00:15,126.22,117.11
2011-05-01 00:00:18,128.82,116.86
2011-05-01 00:00:21,126.62,116.71
2011-05-01 00:00:25,126.67,116.6
2011-05-01 00:00:28,127.58,116.94
2011-05-01 00:00:32,128.86,116.69
2011-05-01 00:00:35,125.69,116.28
2011-05-01 00:00:39,130.66,116.73
2011-05-01 00:00:42,129.13,116.61
2011-05-01 00:00:46,130.16,116.35
2011-05-01 00:00:54,127.2,118.16
2011-05-01 00:00:58,125.57,117.84
2011-05-01 00:01:01,126.19,116.66
2011-05-01 00:01:05,127.17,116.66
2011-05-01 00:01:08,125.57,116.71
2011-05-01 00:01:12,126.21,116.76
2011-05-01 00:01:15,127.19,116.56
2011-05-01 00:01:18,125.71,116.4
2011-05-01 00:01:22,126.73,116.66
2011-05-01 00:01:25,126.63,116.6
2011-05-01 00:01:29,125.89,116.26
2011-05-01 00:01:32,126.8,116.59
2011-05-01 00:01:36,126.78,116.69
2011-05-01 00:01:39,125.01,115.98
2011-05-01 00:01:43,125.67,116.4
2011-05-01 00:01:46,126.32,116.76
2011-05-01 00:01:54,125.86,116.5
2011-05-01 00:01:58,125.32,116.25
2011-05-01 00:02:01,126.72,116.61
2011-05-01 00:02:05,125.63,116.74
2011-05-01 00:02:08,125.24,116.04
2011-05-01 00:02:12,125.48,115.96
2011-05-01 00:02:15,127.6,116.55
2011-05-01 00:02:19,125.47,116.5
2011-05-01 00:02:22,125.81,116.42
2011-05-01 00:02:26,125.8,116.5
2011-05-01 00:02:29,125.77,116.49
2011-05-01 00:02:33,125.65,116.42
2011-05-01 00:02:36,126.15,116.35
2011-05-01 00:02:39,125.98,116.64
2011-05-01 00:02:43,125.37,115.83
2011-05-01 00:02:46,125.97,116.55
2011-05-01 00:02:55,127.18,116.72
2011-05-01 00:02:58,125.81,116.16
2011-05-01 00:03:02,125.94,116.48
2011-05-01 00:03:05,125.41,116.36
2011-05-01 00:03:09,125.97,116.38
2011-05-01 00:03:12,125.72,116.69
2011-05-01 00:03:16,125.99,116.74
2011-05-01 00:03:19,125.74,116.07
2011-05-01 00:03:22,125.4,116.33
2011-05-01 00:03:26,125.97,116.35
2011-05-01 00:03:29,125.25,116.23
2011-05-01 00:03:33,126.69,116.36
2011-05-01 00:03:36,131.86,116.86
2011-05-01 00:03:40,130.89,116.33
2011-05-01 00:03:43,126.25,115.86
2011-05-01 00:03:52,126.14,115.9
2011-05-01 00:03:55,129.22,116.39
2011-05-01 00:03:59,128.67,116.6
2011-05-01 00:04:02,126.45,116.55
2011-05-01 00:04:06,127.55,116.31
2011-05-01 00:04:09,127.09,116.46
2011-05-01 00:04:13,128.87,116.35
2011-05-01 00:04:16,130.6,116.4
2011-05-01 00:04:19,128.16,116.26
2011-05-01 00:04:23,131.24,116.68
2011-05-01 00:04:26,132.25,116.49
2011-05-01 00:04:30,127.55,116.15
2011-05-01 00:04:33,131.22,116.92
2011-05-01 00:04:37,130.59,119.57
2011-05-01 00:04:40,130.93,120.29
2011-05-01 00:04:44,127.66,120.31
2011-05-01 00:04:53,126.01,120.86
2011-05-01 00:04:56,125.76,120.46
2011-05-01 00:04:59,126.88,120.07
2011-05-01 00:05:03,127.2,119.94
2011-05-01 00:05:06,126.4,120.26
2011-05-01 00:05:10,125.94,120.33
2011-05-01 00:05:13,125.85,120.15
2011-05-01 00:05:17,126.11,119.75
2011-05-01 00:05:20,127.03,120.25
2011-05-01 00:05:24,126.69,120.25
2011-05-01 00:05:27,126.23,120.5
2011-05-01 00:05:31,126.21,120.43
2011-05-01 00:05:34,126.8,120.4
2011-05-01 00:05:37,125.58,119.73
2011-05-01 00:05:41,126.09,120.22
2011-05-01 00:05:44,126.05,119.98
2011-05-01 00:05:53,125.34,120.12
2011-05-01 00:05:57,126.15,120.3
2011-05-01 00:06:00,125.55,119.89
2011-05-01 00:06:03,125.56,120.41
2011-05-01 00:06:07,125.38,120.25
2011-05-01 00:06:10,125.53,120.58
2011-05-01 00:06:14,125.03,120.24
2011-05-01 00:06:17,125.48,120.17
2011-05-01 00:06:21,125.12,119.78
2011-05-01 00:06:24,126.06,120.26
2011-05-01 00:06:28,125.77,120.21
2011-05-01 00:06:31,125.23,120.19
2011-05-01 00:06:34,126.08,120.41
2011-05-01 00:06:38,125.12,120.15
2011-05-01 00:06:41,124.76,119.69
2011-05-01 00:06:45,125.44,119.82
2011-05-01 00:06:53,124.64,119.62
2011-05-01 00:06:57,126.09,120.02
2011-05-01 00:07:00,125.68,120.0
2011-05-01 00:07:04,125.47,120.37
2011-05-01 00:07:07,125.89,120.44
2011-05-01 00:07:11,125.82,120.48
2011-05-01 00:07:14,125.41,120.41
2011-05-01 00:07:17,126.78,120.11
2011-05-01 00:07:21,125.62,119.79
2011-05-01 00:07:24,125.44,119.96
2011-05-01 00:07:28,125.55,119.89
2011-05-01 00:07:31,130.61,120.13
2011-05-01 00:07:35,130.41,119.92
2011-05-01 00:07:38,126.38,119.84
2011-05-01 00:07:41,130.56,119.59
2011-05-01 00:07:45,131.4,119.9
2011-05-01 00:07:54,130.88,120.05
2011-05-01 00:07:57,127.39,120.04
2011-05-01 00:08:01,128.64,120.07
2011-05-01 00:08:04,132.4,120.25
2011-05-01 00:08:07,126.5,119.79
2011-05-01 00:08:11,130.4,119.33
2011-05-01 00:08:14,127.71,119.8
2011-05-01 00:08:18,127.82,120.14
2011-05-01 00:08:21,127.46,119.92
2011-05-01 00:08:25,128.79,120.2
2011-05-01 00:08:28,128.97,119.68
2011-05-01 00:08:32,126.69,119.55
2011-05-01 00:08:35,128.93,119.81
2011-05-01 00:08:39,128.65,119.87
2011-05-01 00:08:42,126.92,119.9
2011-05-01 00:08:45,127.15,119.36
2011-05-01 00:08:54,127.1,119.82
2011-05-01 00:08:57,125.37,119.37
2011-05-01 00:09:01,125.29,119.59
2011-05-01 00:09:04,125.47,119.77
2011-05-01 00:09:08,126.68,119.8
2011-05-01 00:09:11,125.7,120.2
2011-05-01 00:09:15,125.64,120.17
2011-05-01 00:09:18,126.37,120.0
2011-05-01 00:09:22,125.29,131.49
2011-05-01 00:09:25,125.7,128.43
2011-05-01 00:09:29,125.65,128.64
2011-05-01 00:09:32,126.32,129.16
2011-05-01 00:09:35,125.46,126.77
2011-05-01 00:09:39,125.39,126.92
2011-05-01 00:09:42,124.93,126.4
2011-05-01 00:09:46,124.66,126.15
2011-05-01 00:09:54,125.26,126.8
2011-05-01 00:09:58,125.09,127.03
2011-05-01 00:10:01,125.61,126.8
2011-05-01 00:10:05,126.22,126.74
2011-05-01 00:10:08,125.57,127.11
2011-05-01 00:10:12,126.54,127.25
2011-05-01 00:10:15,126.1,127.27
2011-05-01 00:10:18,125.2,121.25
2011-05-01 00:10:22,126.27,117.38
2011-05-01 00:10:25,126.11,117.79
2011-05-01 00:10:29,127.42,117.63
2011-05-01 00:10:32,125.95,117.45
2011-05-01 00:10:36,126.71,117.47
2011-05-01 00:10:39,126.04,117.76
2011-05-01 00:10:43,126.13,117.31
2011-05-01 00:10:46,125.83,117.31
2011-05-01 00:10:56,125.2,117.04
2011-05-01 00:10:59,127.08,117.48
2011-05-01 00:11:03,126.02,117.38
2011-05-01 00:11:06,126.18,117.73
2011-05-01 00:11:09,125.31,117.18
2011-05-01 00:11:13,126.09,117.71
2011-05-01 00:11:16,125.41,117.14
2011-05-01 00:11:20,125.46,117.11
2011-05-01 00:11:23,126.42,117.22
2011-05-01 00:11:27,126.35,117.44
2011-05-01 00:11:30,130.23,117.56
2011-05-01 00:11:33,126.65,117.66
2011-05-01 00:11:37,125.98,117.08
2011-05-01 00:11:40,130.64,117.17
2011-05-01 00:11:44,128.08,117.24
2011-05-01 00:11:53,128.97,117.3
2011-05-01 00:11:56,130.45,117.69
2011-05-01 00:12:00,129.94,117.48
2011-05-01 00:12:03,126.63,117.38
